City,Weathercode,StationID,Mainactivity,Current Temperature,Weatherok,TripAdvisorCode
Basel,"Basel/47.5477,7.5899",,Sightseeing,,,
Bern,"Bern/46.9471,7.4441",,Sightseeing,,,
Geneva,"Genf/46.2100,6.1432",,Sightseeing,,,
Gstaad,"Gstaad/46.4750,7.2844",,Snow,,,
Interlaken,"Interlaken/46.6837,7.8521",,Sightseeing,,,
Lausanne,"Lausanne/46.5173,6.6293",,Sightseeing,,,
Lugano,"Lugano/46.0050,8.9510",,Sightseeing,,,
Luzern,"Luzern/47.0456,8.3087",,Sightseeing,,,
Montreux,"Montreux/46.4332,6.9117",,Sightseeing,,,
St. Gallen,"St.+Gallen/47.4233,9.3774",,Sightseeing,,,
St. Moritz,"St.-Moritz/46.4973,9.8378",,Snow,,,
Verbier,"Verbier-Village/46.0939,7.2192",,Snow,,,
Zermatt,"Zermatt/46.0196,7.7461",,Snow,,,
Zug,"Zug/47.1749,8.5113",,Sightseeing,,,
Zürich,"Zürich/47.3797,8.5342",,Sightseeing,,,
